source	target	class
map00010	Zm00001eb006760	Metabolism
map00020	Zm00001eb002960	Metabolism
map00030	Zm00001eb005330	Metabolism
map00040	Zm00001eb005330	Metabolism
map00051	Zm00001eb001000	Metabolism
map00052	Zm00001eb016850	Metabolism
map00053	Zm00001eb025800	Metabolism
map00061	Zm00001eb023380	Metabolism
map00062	Zm00001eb000230	Metabolism
map00071	Zm00001eb005300	Metabolism
map00073	Zm00001eb005300	Metabolism
map00100	Zm00001eb019480	Metabolism
map00120	ID_0424	Metabolism
map00121	ID_0424	Metabolism
map00130	Zm00001eb004210	Metabolism
map00140	Zm00001eb040180	Metabolism
map00190	Zm00001eb000210	Metabolism
map00195	Zm00001eb001650	Metabolism
map00196	Zm00001eb041460	Metabolism
map00220	Zm00001eb019970	Metabolism
map00230	Zm00001eb002420	Metabolism
map00232	Zm00001eb021020	Metabolism
map00240	Zm00001eb018380	Metabolism
map00250	Zm00001eb005550	Metabolism
map00253	ID_0214	Metabolism
map00254	Zm00001eb086560	Metabolism
map00260	Zm00001eb005550	Metabolism
map00261	Zm00001eb064530	Metabolism
map00270	Zm00001eb002740	Metabolism
map00280	Zm00001eb005550	Metabolism
map00290	Zm00001eb009540	Metabolism
map00300	Zm00001eb013940	Metabolism
map00310	Zm00001eb014730	Metabolism
map00330	Zm00001eb044630	Metabolism
map00331	ID_0356	Metabolism
map00333	Zm00001eb086000	Metabolism
map00340	Zm00001eb020250	Metabolism
map00350	Zm00001eb006760	Metabolism
map00360	Zm00001eb014890	Metabolism
map00361	Zm00001eb348780	Metabolism
map00362	Zm00001eb014890	Metabolism
map00363	ID_0739	Metabolism
map00364	Zm00001eb348780	Metabolism
map00380	Zm00001eb002510	Metabolism
map00400	Zm00001eb011020	Metabolism
map00401	Zm00001eb113920	Metabolism
map00402	Zm00001eb033030	Metabolism
map00403	ID_0187	Metabolism
map00405	Zm00001eb011670	Metabolism
map00410	Zm00001eb014890	Metabolism
map00430	Zm00001eb037690	Metabolism
map00440	Zm00001eb172180	Metabolism
map00450	Zm00001eb007130	Metabolism
map00460	Zm00001eb008530	Metabolism
map00470	Zm00001eb028810	Metabolism
map00480	Zm00001eb002810	Metabolism
map00500	Zm00001eb000080	Metabolism
map00510	Zm00001eb013250	Metabolism
map00511	Zm00001eb008880	Metabolism
map00513	Zm00001eb008880	Metabolism
map00514	Zm00001eb039370	Metabolism
map00515	Zm00001eb334770	Metabolism
map00520	Zm00001eb001000	Metabolism
map00521	Zm00001eb008360	Metabolism
map00524	Zm00001eb141560	Metabolism
map00531	Zm00001eb008880	Metabolism
map00540	Zm00001eb153480	Metabolism
map00541	Zm00001eb016850	Metabolism
map00543	Zm00001eb002740	Metabolism
map00552	ID_0171	Metabolism
map00561	Zm00001eb008640	Metabolism
map00562	Zm00001eb006080	Metabolism
map00563	Zm00001eb018410	Metabolism
map00564	Zm00001eb001370	Metabolism
map00565	Zm00001eb001370	Metabolism
map00590	Zm00001eb062080	Metabolism
map00591	Zm00001eb005920	Metabolism
map00592	Zm00001eb005920	Metabolism
map00600	Zm00001eb008880	Metabolism
map00603	Zm00001eb008880	Metabolism
map00604	Zm00001eb008880	Metabolism
map00620	Zm00001eb006760	Metabolism
map00621	ID_0137	Metabolism
map00622	ID_0137	Metabolism
map00623	Zm00001eb348780	Metabolism
map00625	Zm00001eb006760	Metabolism
map00626	Zm00001eb006760	Metabolism
map00627	Zm00001eb014890	Metabolism
map00630	Zm00001eb002510	Metabolism
map00640	Zm00001eb014890	Metabolism
map00642	ID_0082	Metabolism
map00643	Zm00001eb109510	Metabolism
map00650	Zm00001eb014890	Metabolism
map00660	Zm00001eb112480	Metabolism
map00670	Zm00001eb056550	Metabolism
map00680	Zm00001eb006760	Metabolism
map00710	Zm00001eb002270	Metabolism
map00720	Zm00001eb002960	Metabolism
map00730	Zm00001eb002420	Metabolism
map00740	Zm00001eb001180	Metabolism
map00750	Zm00001eb027880	Metabolism
map00760	Zm00001eb039560	Metabolism
map00770	Zm00001eb009540	Metabolism
map00780	Zm00001eb037230	Metabolism
map00785	Zm00001eb030760	Metabolism
map00790	Zm00001eb039830	Metabolism
map00791	Zm00001eb019970	Metabolism
map00830	Zm00001eb006760	Metabolism
map00860	Zm00001eb003350	Metabolism
map00900	Zm00001eb006380	Metabolism
map00901	ID_0057	Metabolism
map00902	Zm00001eb111690	Metabolism
map00903	Zm00001eb201330	Metabolism
map00904	Zm00001eb015820	Metabolism
map00905	Zm00001eb093140	Metabolism
map00906	Zm00001eb073250	Metabolism
map00907	Zm00001eb014890	Metabolism
map00908	Zm00001eb045490	Metabolism
map00909	Zm00001eb006380	Metabolism
map00910	Zm00001eb046120	Metabolism
map00920	Zm00001eb002740	Metabolism
map00930	Zm00001eb014890	Metabolism
map00940	Zm00001eb001420	Metabolism
map00941	Zm00001eb001420	Metabolism
map00942	Zm00001eb374230	Metabolism
map00943	Zm00001eb419010	Metabolism
map00944	Zm00001eb183650	Metabolism
map00945	Zm00001eb001420	Metabolism
map00946	Zm00001eb054230	Metabolism
map00950	Zm00001eb079760	Metabolism
map00960	Zm00001eb012060	Metabolism
map00965	ID_0537	Metabolism
map00966	Zm00001eb009540	Metabolism
map00970	Zm00001eb003350	Genetic Information Processing
map00980	Zm00001eb002810	Metabolism
map00981	Zm00001eb201330	Metabolism
map00982	Zm00001eb002810	Metabolism
map00983	Zm00001eb002810	Metabolism
map00996	ID_0344	Metabolism
map00997	ID_0137	Metabolism
map00998	ID_0137	Metabolism
map00999	Zm00001eb008530	Metabolism
map01040	Zm00001eb016980	Metabolism
map01051	Zm00001eb378030	Metabolism
map01053	Zm00001eb310840	Metabolism
map01057	ID_0214	Metabolism
map01060	ID_0017	Metabolism
map01061	ID_0006	Metabolism
map01062	ID_0017	Metabolism
map01063	ID_0017	Metabolism
map01064	ID_0017	Metabolism
map01065	ID_0017	Metabolism
map01066	ID_0017	Metabolism
map01070	ID_0017	Metabolism
map01070	ID_0117	Metabolism
map01070	ID_0137	Metabolism
map01070	ID_0263	Metabolism
map01200	Zm00001eb002270	Metabolism
map01210	Zm00001eb002960	Metabolism
map01212	Zm00001eb000230	Metabolism
map01220	Zm00001eb006760	Metabolism
map01230	Zm00001eb002740	Metabolism
map01232	Zm00001eb002420	Metabolism
map01240	Zm00001eb001180	Metabolism
map01250	Zm00001eb001000	Metabolism
map01502	ID_0137	Human Diseases
map01503	Zm00001eb361670	Human Diseases
map01521	Zm00001eb015960	Human Diseases
map01522	Zm00001eb015960	Human Diseases
map01523	Zm00001eb056550	Human Diseases
map01524	Zm00001eb002810	Human Diseases
map02010	Zm00001eb012760	Environmental Information Processing
map02020	Zm00001eb014020	Environmental Information Processing
